AutoSentry live pipeline started in replay mode. Writing to D:\fyp\fyp2\AutoSentry\data\traces.ndjson
[batch 57] processed 12 events | latest=877dd6b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 58] processed 12 events | latest=8e364461-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 59] processed 12 events | latest=8e3496b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 60] processed 12 events | latest=8e32c1f0-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 61] processed 12 events | latest=8e3050f0-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 62] processed 12 events | latest=8e2ad2b1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 63] processed 12 events | latest=942dfa21-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 64] processed 12 events | latest=942806b2-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 65] processed 12 events | latest=a014b311-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 66] processed 12 events | latest=aca121e0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 67] processed 12 events | latest=b29ca831-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 68] processed 12 events | latest=b293a780-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 69] processed 12 events | latest=c4885d50-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 70] processed 12 events | latest=d07271a0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 71] processed 12 events | latest=d06e7a00-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 72] processed 12 events | latest=dc605680-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 73] processed 12 events | latest=e95bdad1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 74] processed 12 events | latest=ef5453e0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 75] processed 12 events | latest=f5740400-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 76] processed 12 events | latest=13bd01a0-d610-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 77] processed 12 events | latest=1a4ab5d1-d610-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 78] processed 12 events | latest=1a4892f0-d610-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 79] processed 12 events | latest=c4885d50-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 80] processed 7 events | latest=demo-mal-ransom-003 verdict=malicious method=rule response=dry_run
[batch 81] processed 12 events | latest=f7165ed0-d60e-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 82] processed 12 events | latest=f70ebdb0-d60e-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 83] processed 12 events | latest=161f02f0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 84] processed 12 events | latest=2211a2c1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 85] processed 12 events | latest=220c99b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 86] processed 12 events | latest=33f5ddd0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 87] processed 12 events | latest=3a8084c0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 88] processed 12 events | latest=407a3651-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 89] processed 12 events | latest=526b42a0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 90] processed 12 events | latest=58598282-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 91] processed 12 events | latest=5ee9cec1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 92] processed 12 events | latest=6581e330-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 93] processed 12 events | latest=657efd02-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 94] processed 12 events | latest=7a9a4730-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 95] processed 12 events | latest=80e7e520-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 96] processed 12 events | latest=80e489c0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 97] processed 12 events | latest=877dd6b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 98] processed 12 events | latest=8e364461-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 99] processed 12 events | latest=8e3496b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 100] processed 12 events | latest=8e32c1f0-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 101] processed 12 events | latest=8e3050f0-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 102] processed 12 events | latest=8e2ad2b1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 103] processed 12 events | latest=942dfa21-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 104] processed 12 events | latest=942806b2-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 105] processed 12 events | latest=a014b311-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 106] processed 12 events | latest=aca121e0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 107] processed 12 events | latest=b29ca831-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 108] processed 12 events | latest=b293a780-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 109] processed 12 events | latest=c4885d50-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 110] processed 12 events | latest=d07271a0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 111] processed 12 events | latest=d06e7a00-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 112] processed 12 events | latest=dc605680-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 113] processed 12 events | latest=e95bdad1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 114] processed 12 events | latest=ef5453e0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 115] processed 12 events | latest=f5740400-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 116] processed 12 events | latest=13bd01a0-d610-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 117] processed 12 events | latest=1a4ab5d1-d610-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 118] processed 12 events | latest=1a4892f0-d610-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 119] processed 12 events | latest=c4885d50-d60f-11f0-9588-080027b4982b verdict=suspicious method=hybrid response=completed
[batch 120] processed 7 events | latest=demo-mal-ransom-003 verdict=malicious method=rule response=dry_run
[batch 121] processed 12 events | latest=f7165ed0-d60e-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 122] processed 12 events | latest=f70ebdb0-d60e-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 123] processed 12 events | latest=161f02f0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 124] processed 12 events | latest=2211a2c1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 125] processed 12 events | latest=220c99b0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 126] processed 12 events | latest=33f5ddd0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 127] processed 12 events | latest=3a8084c0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 128] processed 12 events | latest=407a3651-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 129] processed 12 events | latest=526b42a0-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 130] processed 12 events | latest=58598282-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 131] processed 12 events | latest=5ee9cec1-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 132] processed 12 events | latest=6581e330-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
[batch 133] processed 12 events | latest=657efd02-d60f-11f0-9588-080027b4982b verdict=benign method=rule response=skipped
